periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,España,Percentage. Above 60%. From 20 to 29 years. Males,2.5,Percentage
2025,2025,,España,Percentage. Above 60%. From 20 to 29 years. Total,2.6,Percentage
2025,2025,,España,Percentage. Above 60%. From 25 to 29 years. Females,4.2,Percentage
2025,2025,,España,Percentage. Above 60%. From 25 to 29 years. Males,3.8,Percentage
2025,2025,,España,Percentage. Above 60%. From 25 to 29 years. Total,4.0,Percentage
2025,2025,,España,Percentage. Above 60%. From 6 to 11 years. Females,1.5,Percentage
2025,2025,,España,Percentage. Above 60%. From 6 to 11 years. Males,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. From 6 to 11 years. Total,1.3,Percentage
2025,2025,,España,Percentage. Above 60%. 65 years or over. Females,1.3,Percentage
2025,2025,,España,Percentage. Above 60%. 65 years or over. Males,1.1,Percentage
2025,2025,,España,Percentage. Above 60%. 65 years or over. Total,1.2,Percentage
2025,2025,,España,Percentage. Above 60%. Less than 18 years. Females,1.3,Percentage
2025,2025,,España,Percentage. Above 60%. Less than 18 years. Males,1.2,Percentage
2025,2025,,España,Percentage. Above 60%. Less than 18 years. Total,1.3,Percentage
2025,2025,,España,Percentage. Above 60%. Less than 6 years. Females,1.2,Percentage
2025,2025,,España,Percentage. Above 60%. Less than 6 years. Males,1.2,Percentage
2025,2025,,España,Percentage. Above 60%. Less than 6 years. Total,1.2,Percentage
2025,2025,,España,Percentage. Below 60%. Total. Females,28.3,Percentage
2025,2025,,España,Percentage. Below 60%. Total. Males,28.2,Percentage
2025,2025,,España,Percentage. Below 60%. Total. Total,28.3,Percentage
2025,2025,,España,Percentage. Below 60%. From 12 to 17 years. Females,27.7,Percentage
2025,2025,,España,Percentage. Below 60%. From 12 to 17 years. Males,23.7,Percentage
2025,2025,,España,Percentage. Below 60%. From 12 to 17 years. Total,25.8,Percentage
2025,2025,,España,Percentage. Below 60%. From 15 to 19 years. Females,25.7,Percentage
2025,2025,,España,Percentage. Below 60%. From 15 to 19 years. Males,23.0,Percentage
